0, 1, 1828
0, 2, 1872
0, 3, 1679
0, 4, 1736
0, 5, 2026
0, 6, 4536
0, 7, 3758
0, 8, 199
0, 9, 9816
0, 10, 928
0, 11, 2314
1, 2, 9876
1, 3, 2592
1, 4, 5205
1, 5, 2087
1, 6, 8050
1, 7, 1847
1, 8, 9156
1, 9, 8189
1, 10, 8723
1, 11, 7733
2, 3, 4180
2, 4, 5578
2, 5, 5907
2, 6, 3184
2, 7, 2728
2, 8, 3630
2, 9, 3564
2, 10, 1050
2, 11, 8259
3, 4, 536
3, 5, 6150
3, 6, 1823
3, 7, 5103
3, 8, 1968
3, 9, 5758
3, 10, 9584
3, 11, 3022
4, 5, 3763
4, 6, 3833
4, 7, 3814
4, 8, 4125
4, 9, 1900
4, 10, 4848
4, 11, 3670
5, 6, 9488
5, 7, 6687
5, 8, 8908
5, 9, 3088
5, 10, 1433
5, 11, 7953
6, 7, 5453
6, 8, 981
6, 9, 9934
6, 10, 3589
6, 11, 3176
7, 8, 2433
7, 9, 3956
7, 10, 3276
7, 11, 8259
8, 9, 6407
8, 10, 2395
8, 11, 8246
9, 10, 6434
9, 11, 8328
10, 11, 755
