0, 1, 4907
0, 2, 6746
0, 3, 9914
0, 4, 7316
0, 5, 1335
0, 6, 1100
0, 7, 8889
0, 8, 5065
0, 9, 2231
0, 10, 6864
0, 11, 3736
1, 2, 3455
1, 3, 261
1, 4, 5986
1, 5, 2696
1, 6, 558
1, 7, 6364
1, 8, 5656
1, 9, 9393
1, 10, 8550
1, 11, 2691
2, 3, 5199
2, 4, 2166
2, 5, 5634
2, 6, 7960
2, 7, 9384
2, 8, 5869
2, 9, 399
2, 10, 345
2, 11, 34
3, 4, 3150
3, 5, 880
3, 6, 1831
3, 7, 9112
3, 8, 7035
3, 9, 3075
3, 10, 7388
3, 11, 8888
4, 5, 6388
4, 6, 7737
4, 7, 9698
4, 8, 1906
4, 9, 7268
4, 10, 9991
4, 11, 7324
5, 6, 1686
5, 7, 796
5, 8, 668
5, 9, 835
5, 10, 7514
5, 11, 5392
6, 7, 1962
6, 8, 3551
6, 9, 84
6, 10, 6978
6, 11, 3725
7, 8, 2694
7, 9, 2379
7, 10, 2256
7, 11, 4367
8, 9, 1769
8, 10, 1391
8, 11, 4894
9, 10, 2192
9, 11, 2670
10, 11, 4304
