0, 1, 5
0, 2, 6
0, 3, 6
0, 4, 6
0, 5, 6
0, 6, 5
0, 7, 5
0, 8, 5
0, 9, 6
0, 10, 6
0, 11, 5
1, 2, 5
1, 3, 6
1, 4, 5
1, 5, 5
1, 6, 6
1, 7, 5
1, 8, 6
1, 9, 6
1, 10, 6
1, 11, 6
2, 3, 5
2, 4, 6
2, 5, 6
2, 6, 5
2, 7, 5
2, 8, 5
2, 9, 6
2, 10, 6
2, 11, 6
3, 4, 5
3, 5, 6
3, 6, 5
3, 7, 5
3, 8, 5
3, 9, 6
3, 10, 6
3, 11, 6
4, 5, 5
4, 6, 6
4, 7, 6
4, 8, 5
4, 9, 5
4, 10, 6
4, 11, 5
5, 6, 5
5, 7, 6
5, 8, 6
5, 9, 6
5, 10, 6
5, 11, 6
6, 7, 5
6, 8, 6
6, 9, 5
6, 10, 6
6, 11, 5
7, 8, 5
7, 9, 6
7, 10, 6
7, 11, 5
8, 9, 5
8, 10, 6
8, 11, 6
9, 10, 5
9, 11, 6
10, 11, 5
